"annotation_id","annotator","created_at","final_label","id","lead_time","reviewer_note","row_id","text","updated_at"
1761,"1","2026-06-24T08:44:45.630364Z","normal",1761,6.061,"","r3-0010","Mình xem mỗi lần tâm sự cùng mẹ - người đang rối loạn lo âu và trầm cảm nhẹ là 1 lần rèn luyện. Mình học về thấu hiểu nội tâm còn người, xong rồi mình lại về chạm vào mẹ. Hiện tại, sau nhiều lần cũng bị mẹ tổn thương, mình hiểu nỗi đau mẹ trải qua và nó giúp mình ngày càng quyết tâm trên con đường mình chọn. Trộm vía là mình đã đưa đc mẹ ra khỏi nhà, đưa đến môi trường tốt hơn, đến đạo tràng, đi thiện nguyện, đi đạo tràng Phật pháp. Mình sẽ làm mẹ mình bận rộn với những thứ tốt đẹp xung quanh, và ko còn tgian nghĩ đến tiêu cực. Đây là khởi đầu, sau này mình ngộ ra nhiều hơn thì mình sẽ có cách khác giúp mẹ mình tiếp. Gửi tới các bạn có ng thân bị bệnh tâm lý. Chta có cùng sứ mệnh, các bạn ko cô đơn. Hãy tiếp tực tiến lên, làm điều mk muốn","2026-06-24T08:44:45.630382Z"
1762,"1","2026-06-24T08:44:47.126456Z","normal",1762,0.588,"","r3-0011","Mình lại có những cảm giác này vì mình là con một và bố mình thì mất rồi nên chỉ có mình sau này nuôi mẹ thôi. Lúc nào cũng có cái cảm giác áp lực tương lai, áp lực việc học, tương lai đi làm. Hướng đi nào tốt để có thể kiếm lương vài nghìn. Kiểu vì học giỏi nên từ bé mẹ luôn ns rằng sau này kiếm tiền nuôi mẹ, xây nhà, mua nhà, đưa mẹ đi du lịch. Đó vừa là áp lực, vừa là đòn bẩy phấn đấu của mình. Vd như mình học IT nhưng vì mình biết developer ko thì h khá là bão hòa r nên phải học cao hơn thử thách bản thân hơn. Đắn đo thì bây giờ chọn Machine learning nhưng cx ko biết như thế nào. Chỉ biết học tập mỗi ngày để cố gắng. Kì trước mình đc 3.94, chắc cao nhất khoa rồi. Mình có tâm sự vs mn là mình rất vui và cx ns về sự tiếc nuối 2 kì trước ko cao bằng, mình chủ quan, thiếu may mắn và bất cẩn ở 2 kì trước. Có 1 a bảo vs mình: con gái như thế là rất giỏi rồi. Thực sự ko muốn rep j luôn. Mình rất ghét vc bị so sánh khả năng vs 1 ng con trai như vậy. Mục tiêu của mình luôn là giỏi nhất chứ ko phải giỏi nhất trg các bạn con gái. Nhiều ng bảo mình con gái thì học vừa thôi, học ngoại ngữ, văn hóa nch r kiếm a chồng tây. Không, mình khá mất niềm tin vào đàn ông, mình chứng kiến bố mình, bác mình như thế nào đủ r. Ck việt còn cùng văn hóa mà còn như vậy. Ck tây thì sẽ ra sao. Từ bé đã ghét những a Tây đào hoa rồi, đâu phải ai cx đc như idol mình là Torres đâu. Chung quy lại mình luôn tự hào và muốn tự hào rằng mình là ng đứng đc trên đôi chân của mình. Càng lớn càng thấy cs áp lực hơn nhiều.","2026-06-24T08:44:47.126486Z"
1763,"1","2026-06-24T08:44:49.074610Z","normal",1763,1.155,"","r3-0012","Con đã khóc từ lúc đầu anh Nguyên mất tới cuối truyện, thật sự con cũng là một người thuộc cộng đồng LGBT con rất đồng cảm với anh, con đã từng thấy mình chịu quá nhiều đau khổ từ gia đình nhưng giờ con thấy mình thật may mắn được sống trên đời này là một điều may mắn rồi, phải sống tốt sống thiện mới trọn vẹn kiếp người được, mong anh Nguyên sẽ có thể trọn vẹn ở kiếp sau hoặc thành chánh quả thoát khỏi luân hồi. Cảm ơn cô Thy chúc cô sức khoẻ và bình an ❤️","2026-06-24T08:44:49.074628Z"
1764,"1","2026-06-24T08:44:51.686356Z","exclude",1764,1.16,"","r3-0013","I used to feel completely drained all the time, like no matter how much I rested I could never catch up. Stress, burnout, and constant pressure had me on edge and exhausted. Watching videos like this helped, but what really made a difference was picking up 8 Habits of Super Successful People by Evan Stroud. Small daily habits like planning my day, taking intentional breaks, and prioritizing what actually matters slowly helped me control stress and feel in charge again. It’s not instant, but consistency really works.","2026-06-24T08:44:51.686378Z"
1765,"1","2026-06-24T08:44:57.535297Z","normal",1765,1.493,"","r3-0014","Buông bỏ những vật không cần thiết, buông bỏ chấp niệm, buông bỏ ham muốn công nhận..Có lẽ ta đã mang quá nhiều hành lý ""không cần thiết"" trên hành trình của mình..Đã đến lúc ta nên học cách buông bỏ..Cảm ơn Better version vì những chia sẻ bổ ích này ❤","2026-06-24T08:44:57.535315Z"
1766,"1","2026-06-24T08:45:33.588838Z","uncertain",1766,35.074,"Comment quá ngắn không rõ người viết đang ngầm khẳng định mình bị hay chỉ nói một sự thật hiển nhiên về người bệnh","r3-0015","Chi co ai bi tram cam thi moi hieu được nó đâu khô the nao...","2026-06-24T08:45:33.588855Z"
1767,"1","2026-06-24T08:45:39.039256Z","normal",1767,1.885,"","r3-0016","Cam on bac si ngoc da guip moi nguoico giacngu toy","2026-06-24T08:45:39.039273Z"
1768,"1","2026-06-24T08:45:43.177691Z","exclude",1768,3.247,"","r3-0017","I love the addition of saying someone experiencing burnout may have a short fuse as opposed to feeling hopeless. I've never been one to stop and sulk and become depressed if I'm feeling stressed: moving at such a fast pace, I only get angry or more turbulent if something gets in my way or I become overwhelmed. Aspects of my core personality have been described in this video and I appreciate having more insight about it.","2026-06-24T08:45:43.177710Z"
1769,"1","2026-06-24T08:46:07.031658Z","normal",1769,19.085,"","r3-0018","cảm ơn chị nhiều, lúc em rối bời thfi em luôn nhớ đến chị để có thể mạnh mẽ hơn. Một lần nữa: EM CẢM ƠN CHỊ!","2026-06-24T08:46:07.031674Z"
1770,"1","2026-06-24T08:46:11.595632Z","exclude",1770,2.056,"","r3-0019","If its nurse burnout does there have to necessarily be core issues? I feel like with nurse burnout the external stressors are enough to burn anyone out. Not to say I don't have core issues. Its just with nurse burnout I never felt more spiritually, emotionally, physically exhausted in my life; its like my soul got sucked out of me. And then I dont have anything left in me for my at home life.","2026-06-24T08:46:11.595651Z"
1771,"1","2026-06-24T08:46:52.739242Z","uncertain",1771,40.263,"Có thể đang tự chẩn đoán theo video nhưng quá thiếu ngữ cảnh để khẳng định","r3-0020","1,4,6,7,10 trầm cảm + mất cảm xúc","2026-06-24T08:46:52.739262Z"
1772,"1","2026-06-24T08:47:00.209621Z","normal",1772,6.437,"","r3-0021","Bai hoc nay rat khoa hoc va ap dung duoc ngay do ban.Cam on ban rat nhieu.","2026-06-24T08:47:00.209639Z"
1773,"1","2026-06-24T08:47:02.283145Z","exclude",1773,1.323,"","r3-0022","The people who say burnout isn't real haven't seen what real stress feels like what it feels to work constantly for 18 hours straight over coffee without sleep just because you had a deadline, Now imagine doing that for months, at some point you'll break and that's burnout.","2026-06-24T08:47:02.283161Z"
1774,"1","2026-06-24T08:47:11.954419Z","depression",1774,8.5,"","r3-0023","Mình cảm thấy cuộc sống này thật nhàm chán, không còn ý nghĩa nữa, và lướt thấy video này Cảm ơn better version ❤","2026-06-24T08:47:11.954435Z"
1775,"1","2026-06-24T08:47:19.618751Z","normal",1775,6.778,"","r3-0024","Cảm ơn thầy đã sáng tác một bài về mẹ hay và tràn đầy ý nghĩa,con đã khóc rất nhiều mỗi lần khi con nghe bài hát này ji con đã mất mẹ và mất luôn cả ba","2026-06-24T08:47:19.618769Z"
1776,"1","2026-06-24T08:47:22.103558Z","exclude",1776,1.602,"","r3-0025","Thank you for this, it really helps to figure things out a bit. I started to feel burnout at the end of last year, with boring project and absence of opportunities in my career, isolation due to pandemics, and 2 kids having corona at the same time, and buying a new apartment with all legal procedures related to it... I hoped that I will have time to deal with it after New Year, but then the rumors about the war and russian soldiers on the borders of my country started to spread... And 24 of February - the full-scale invasion of my country, my city was bombed daily, stress was unimaginable... I fleed to Germany with my kids, took a second job to support my family and my country. And now I don't know what to do - I can't motivate myself to do anything, sometimes it's hard to just take a shower, I want nothing. I scream at my kids, and they are 1 and 4 years old. I quit 1 job, but I can't normally deal even with one that left - my performance did downgrade to like 10% from what I had before... It drives me crazy that I don't know what I want, that I feel nothing but exhaustion and frustration, and I'm ashamed of that... Now I get that I'm not the only one with such problem, so maybe with time I'll recover from it","2026-06-24T08:47:22.103577Z"
1777,"1","2026-06-24T08:47:24.792968Z","exclude",1777,1.401,"","r3-0026","Burnout happens to people who have a work ethic and responsibility. It ends up biting you on the ass in the long run. Today is my last day after 28 years at my workplace. Luckily I have months of leave owing so I don't need to work straight away. Sick of all the stress that should be the owners, not mine. I'm not putting my life on hold anymore waiting for others to get their acts together.","2026-06-24T08:47:24.792986Z"
1778,"1","2026-06-24T08:47:32.683176Z","normal",1778,3.004,"","r3-0027","Thường thì những người bị rối loạn giấc ngủ hay bị bởi những người làm đi làm ca. Như mình đổi ca liên tục sau từng tuần và thời gian ngủ bị rút ngắn sau mỗi lần đổi ca dễ bị rơi vào trạng thái mất ngủ, phải đến lúc kiệt sức mới ngủ đc.","2026-06-24T08:47:32.683195Z"
1779,"1","2026-06-24T08:47:35.078205Z","exclude",1779,1.236,"","r3-0028","I have a job search burnout at the moment. I hate it so much, I feel hopeless, I feel depressed and stressed. I don't see what sense it makes anymore. I hope I find something soon, because I am sick and tired of it.","2026-06-24T08:47:35.078226Z"
1780,"1","2026-06-24T08:47:37.428917Z","normal",1780,1.454,"","r3-0029","Bai viet thuc te va hoc hoi tien bo. Xin cam on ban va chuc khoe manh.😂❤","2026-06-24T08:47:37.428934Z"
1781,"1","2026-06-24T08:47:50.417930Z","normal",1781,4.382,"","r3-0030","Co gang giu vung phongvdo va chat giong vay nhe e rat hay mai ung ho gd e","2026-06-24T08:47:50.417951Z"
1782,"1","2026-06-24T08:47:57.079884Z","exclude",1782,1.218,"","r3-0031","I think that everyone who worked through the whole pandemic, had to pick up all the responsibilities of the furloughed staff, then those positions were never hired back, and companies didn’t give pay increases… are all in a very advanced stage of burnout. I have been trying to set better boundaries at work, have told my boss that I cannot continue to work 55+ hours a week, and must have time for myself, but every week that I don’t put the extra time in, I’m under so much stress about incomplete work, that I can hardly enjoy my free time. I feel angry and exhausted all the time, and ineffective. I know I’d actually be better at work if I could actually have a normal workload and have “me” time after work… but nothing changes and I don’t know what to do. I’ve threatened to quit if I don’t get help and a raise. Crossing my fingers that they sit up and take notice.","2026-06-24T08:47:57.079902Z"
1783,"1","2026-06-24T08:48:08.380771Z","normal",1783,1.456,"","r3-0032","Hồi mình chưa thi cấp 3 thì mình xem vd này thấy bình thường, nhưng mà bây giờ lớp 12 r mình lại thấy đồng cảm và rơi nước mắt khi xem vd này, đúng là phải trải qua thời gian đó rất là mệt mỏi và áp lực","2026-06-24T08:48:08.380791Z"
1784,"1","2026-06-24T08:48:09.933931Z","normal",1784,0.717,"","r3-0033","Thật sự em nghe bài này vô tình trên tiktok. Vì lyrics của Cam chạm đến đáy lòng của em nhiều lắm. Em như nhìn thấy bản thân mình trong từng lời bài hát ấy. Em nghe đi nghe lại rất nhiều lần rồi tự khóc và tự an ủi chính mình. Vì khó khăn, đau khổ bị dồn nén rồi cũng sẽ có cách mình bước ra khỏi nỗi đau vô hình đó. Em cảm ơn Cam rất nhiều. Vì đã khiến em có cảm giác mình đã tìm lại chính mình. Cảm ơn chị thật nhiều","2026-06-24T08:48:09.933949Z"
1785,"1","2026-06-24T08:48:11.527382Z","normal",1785,0.669,"","r3-0034","Us and Them là 1 bộ phim tuyệt vời, nó cũng giống như cuộc đời tôi vậy, nhưng chưa chắc Kiến Thanh bước lên tàu đã có thể cùng Tiểu Hiểu đi đến hết cuộc đời, trong lúc dường như tôi đã mất cô ấy tôi đã đứng lên và dành lại mọi thứ nhưng cuối cùng cũng chỉ nhận được cái lắc đầu xua tay. Có lẽ chính sự sợ hãi đấy đã khiến cho Kiến Thanh không dám bước lên tàu, có lẽ đôi khi buông bỏ sẽ tốt hơn là cứ tiếp tục chìm sâu cho đến khi không thể thoát ra nổi","2026-06-24T08:48:11.527405Z"
1786,"1","2026-06-24T08:48:14.922006Z","exclude",1786,1.602,"","r3-0035","Here in 2021...it strikes me how much worse this can be during the pandemic. On the one hand, you’re grateful to have a job and flexibility be working from home, and on the other you’re absorbing more work than ever, there’a no distancing yourself home life from your work life, many are caring for children or family members while working, and there’s no vacation or social time to wind down. Add in all the other stressed and trauma from the pandemic losses and it’s a recipe for serious burnout. It also comes with how companies treat workers, how they recruit talent, etc. Even the process of applying for new jobs is taxing with multiple rounds of interviews, the stress of having to take time off just to get a new job, the inability to quit a job when it’s toxic or when you know you need to move on, because you need every paycheck and you rely on your employer for healthcare. Just to name a few. The pandemic has pointed to so many ways our systems in the US are broken, our labor system is but one of them. We need to change our ways. Imagine living in a world where people are treated like human beings instead of human capital, where we are treated like stakeholders, when we are permitted to take breaks, or have wants and needs that we are equipped to respond to. This burnout game is a lose/lose situation for absolutely everyone, and it all comes from systems of power.","2026-06-24T08:48:14.922024Z"
1787,"1","2026-06-24T08:48:17.406535Z","normal",1787,1.189,"","r3-0036","chẳng biết có đúng hay không nhưng mình cảm nhận MV này là: Cô và a đang yêu nhau nồng cháy, họ kỷ niệm cho tình yêu của mình bằng 1 chuyến đi xa ở bờ biển. Nhưng không ngờ chuyến đi này đã mang a đi mãi mãi, khi chiếc xe chở a và cô gặp nạn, cô còn sống nhưng a thì không. Khoảng thời gian không có a, cô buồn, cô đau khổ,cô trách a sao không tìm đến cô, a có còn thương cô hay còn nhớ cô hay không? về phía a thì a rất muốn cô nhưng không thể được, hồn a đã bị trấn thủ ở nơi 2 người xảy ra tai nạn và bản thân a muốn cô sống thật tốt thật vui và a luôn cầu chúc người đến sau sẽ thương yêu cô hơn a. Sau một khoảng thời gian cô sống cô độc một mình cô quyết định đi tìm a. ( hình như cô tự ở bờ biển). Và cuối cùng cô đã gặp được a, nhưng sự gặp gỡ này cô phải trả giá bằng mạng sống của mình. Họ gặp nhau, họ nắm tay nhau và họ ở bên thế giới riêng của họ. Đúng tình yêu là một "" Thứ"" nào đó mà không ai có thể diễn tả được, n vui vẻ n cay đắng n đau khổ là tùy thuộc vào cách yêu của mỗi người. Tôi cũng đã từng mơ mộng một tình yêu rất đẹp, nhưng hiện tại đến bây giờ hình như ông trời không ưu ái cho tôi được gặp""thứ"" đó. Chúc tôi và các bạn luôn vui vẻ, hạnh phúc và an yên.:0","2026-06-24T08:48:17.406553Z"
1788,"1","2026-06-24T08:48:19.891813Z","normal",1788,1.291,"","r3-0037","Lúc tôi và em trai tôi đang tập trung xem đt thì bme tôi đang đánh nhau,chợt tôi nghe mẹ t lớn tiếng kêu gào tên tôi và xin sự giúp đỡ từ tôi, tôi thấy bố tôi đập đầu mẹ tôi vào tường và đạp chân vô đầu mẹ tôi. Ban đầu tôi ngơ ngác, ngồi thừ ra vì ko hiểu chuyện gì, sau đó tôi nghe tiếng mẹ tôi thì tôi chạy sang nhà chú tôi ở ngay cạnh nhà tôi, sau khi mẹ đc giúp thì oán trách tôi ko lao vào cứu mẹ tôi, ??? hay là tôi lao vào chỗ bố tôi đập cả mẹ lẫn tôi cho vừa lòng hả dạ mẹ nhé, trách tôi cái con khỉ gì. Biết bố tôi áp lực kinh tế, men rượu vào người ko kiểm soát đc hành vi và lời nói còn cứ lải nhải bên tai làm bố tôi bực còn trách ai, trách tôi sao? Vô lý vậy trời, nói tôi oán uổng cx ko ngoa. Vì chuyện này tôi và mẹ tôi chiến tranh lạnh với nhau, cho tới một hôm, hai người bọn tôi cãi nhau to tiếng, mẹ lại đem chuyện hôm đó ra để nói, t bảo tôi lao vào là tôi bị ngu à, tôi gọi người tới giúp chưa phải là cứu mẹ à, đừng có ko lmj đc bố lại giận cá chém thớt lên đầu tôi, chắc mẹ tôi thẹn quá hoá giận vì lời nói ngủ hơn con bò của mk mà tiếp tục chửi tôi, tôi nhắc đến bố, sai lầm của mẹ, cãi nhau to quá bố tôi ở nhà chú chạy về mắng chửi tôi bảo tôi im mồm, thế mẹ tôi ở where?? Nói mỗi tôi vì tôi nói chuyện ngày hôm đó ra, sợ hàng xóm nghe thấy làm bố mất cái mặt ko còn gì để mất ( ngày hôm đó khi bố tôi đánh đuổi mẹ tôi trong sân, hàng xóm chạy ra xem) nữa à??? Sau đó được mấy ngày, mẹ tôi lại giở cái văn đấy ra, bố tôi đi nhậu rồi, cả hai chẳng kiêng nể nhau gì cả, tôi vẫn còn nhớ như in, ngày đó mẹ nói tôi hỗn láo ra sao, mất dạy thế nào và mẹ còn nói:"" Nếu biết mày láo lếu thế này thì ngay từ lúc mày sinh ra tao đã lấy dao ra đâm chết mày rồi!!"". Dù là lời nói vô tình trong lúc cãi nhau nhưng tôi ko bao giờ chấp nhận vô tình hay cố ý, một lời nói ác ý như dao găm khi đã thốt ra sẽ gây tổn thương tới ng khác, tôi ko chấp nhận tha thứ cho câu nói đấy. Từ đó cho tới nay quan hệ gđ tôi ngày càng xa cách, chuyện kỷ yếu ngày hqua của tôi đáng ra sẽ trọn vẹn nếu ko có lời nói ngu như con bò và cái não chưa toàn phân tôm của mẹ tôi cùng cái thái độ thờ ơ, ko quan tâm, ko bao che cho tôi bao giờ của bố tôi. Tôi muốn tìm hiểu thêm thông tin để có thêm lòng tin và chứng minh được suy nghĩ của tôi đúng đắn hơn bố mẹ tôi nhiều nên tôi đã search ""bố mẹ độc hại"" và tìm đến kênh Better Version, tôi cũng có để lại bl ở đó. Nếu mọi người có đọc được bình luận của tôi cx thấy tôi mất dạy thì tôi chấp nhận những lời khó chịu đó vì tôi đã nghe được những lời còn khó nghe hơn tất cả điều gì từ bố mẹ và các mqh của bme tôi rồi❤","2026-06-24T08:48:19.891831Z"
1789,"1","2026-06-24T08:48:22.357600Z","exclude",1789,1.185,"","r3-0038","Burnout recovery is so much more than just taking a vacation. What helped me the most was learning to reset my nervous system daily instead of waiting until I was completely empty. Even five minutes of intentional breathwork in the morning made a noticeable difference in how I handled stress throughout the day. The body holds tension from burnout in ways we do not consciously notice until we actively release it. I started facilitating breathwork sessions specifically because I watched so many people including myself recover from chronic stress by learning how to regulate their own nervous system through the breath.","2026-06-24T08:48:22.357616Z"
1790,"1","2026-06-24T08:48:47.858644Z","normal",1790,1.515,"","r3-0039","Cam on co chuc co luon manh khoe de tryen nhung kien thuc bo ich cho chung a","2026-06-24T08:48:47.858668Z"
1791,"1","2026-06-24T08:48:54.229524Z","normal",1791,1.557,"","r3-0040","Có những lúc, dù mình nỗ lực hết mình nhưng vẫn cảm thấy chán nản và tuột mood. Điều này thường xuất phát từ việc nỗ lực ấy không được công nhận xứng đáng. Những ngày dài lao động, những đêm thức khuya suy nghĩ về cách giải quyết vấn đề, hay những giọt mồ hôi rơi xuống từ những cố gắng không ngừng nghỉ có thể trở thành gánh nặng khi không ai nhận ra hay đánh giá cao chúng. Chúng ta sống trong một thế giới mà sự công nhận, dù là nhỏ nhất, cũng có thể mang lại động lực to lớn. Khi bạn đã làm việc chăm chỉ nhưng chỉ nhận được sự im lặng, hoặc tệ hơn là những phản hồi tiêu cực, cảm giác chán nản càng trở nên sâu sắc. Nó giống như bạn đang cặm cụi trồng một cây mà không có ai đến thăm hay thưởng thức hoa trái của nó. Cây vẫn sẽ nở hoa, nhưng không có ai chứng kiến sự nỗ lực của bạn. Tuy nhiên, điều đáng nói là chúng ta cần học cách tự công nhận bản thân mình. Đôi khi, việc tìm kiếm sự công nhận từ người khác có thể khiến ta mệt mỏi và cảm thấy đơn độc. Thay vì chờ đợi, tại sao không tự tạo ra một không gian tích cực cho bản thân? Hãy nhớ rằng, mọi nỗ lực đều có giá trị và bạn hoàn toàn xứng đáng với sự công nhận. Việc tự thưởng cho bản thân một chút, dù là một món quà nhỏ hay thời gian thư giãn, có thể giúp ta vực dậy tinh thần. Đồng thời, hãy chia sẻ cảm xúc của mình với những người bạn tin tưởng. Sự kết nối với người khác, nhất là khi bạn đang cảm thấy tuột mood, có thể mang lại sự nhẹ nhõm và khơi gợi lại niềm tin vào giá trị của bản thân. Cùng nhau, chúng ta có thể vượt qua những lúc khó khăn và tìm lại động lực để tiếp tục tiến về phía trước. Cuối cùng, hãy nhớ rằng cuộc sống không chỉ là về việc được công nhận, mà còn là hành trình học hỏi và trưởng thành. Những nỗ lực của bạn, dù lớn hay nhỏ, đều có thể tạo nên sự khác biệt trong cuộc sống của chính bạn và những người xung quanh. Hãy tự tin tiếp tục bước đi, vì mỗi bước chân đều mang ý nghĩa riêng của nó.","2026-06-24T08:48:54.229540Z"
1792,"1","2026-06-24T22:56:35.262957Z","normal",1792,50856.097,"","r3-0041","mik đg khóc nghe cậu nói thấy đỡ hơn ko khóc nx cảm ơn cậu rất nhiều","2026-06-24T22:56:35.262975Z"
1793,"1","2026-06-24T22:56:37.787189Z","normal",1793,1.403,"","r3-0042","Qua tuyet voi voi tieng hat Minh Tam .. bai hat da luon de lai noi chi su xuc dong dat dak moi khi nghe em hat","2026-06-24T22:56:37.787209Z"
1794,"1","2026-06-24T22:56:40.231726Z","normal",1794,1.543,"","r3-0043","lam chan huy hat bai hat nao cung di vao long nguoi rat co ý nghia qua hay","2026-06-24T22:56:40.231743Z"
1795,"1","2026-06-24T22:56:48.002015Z","depression",1795,2.442,"","r3-0044","Câu chuyện đầu tiên thật sự rất giống mình bây giờ. Mình đã làm hết bổn phận của mình là học và đạt kết quả tốt nhất để đi du học, và mình đã làm được nhưng đến khi làm hồ sơ lại hàng tá vấn đề đến từ việc tài chính gia đình không rõ ràng. Tốt nghiệp được một năm mình vẫn chưa được đi học và đã huỷ hợp đồng du học bên trung tâm và nhờ một người quen làm? Giá cao hơn và phải chịu mất phí vì huỷ hợp đồng ở trung tâm. Tiền đấy là của ba mẹ chứ không phải của mình. Mình cảm thấy mệt mỏi và mất niềm tin, mình không biết có bị lừa nữa không. Nếu người này cũng lừa mình thì mình có chết đi cũng chẳng thể trả lại số tiền gia đình đã bỏ ra chỉ vì quyết định du học của mình. Bây giờ lựa chọn bước tiếp làm lại hồ sơ từ đầu phải mất đến một năm hoặc hơn mình mới có thể được đi học. Có vô vọng không ạ bây giờ tâm trí minh lạc lõng lắm, mình thấy thất vọng về bản thân về mọi thứ, đầu óc mình giờ trống rỗng, tối đến thì chẳng thể ngủ, sáng ra thì phải cố tỏ ra mình vẫn ổn trước mặt gia đình và mọi người","2026-06-24T22:56:48.002033Z"
1796,"1","2026-06-24T22:56:52.327431Z","depression",1796,3.344,"","r3-0045","Lời giảng đánh thức con khỏi cơn mê dài của sợ hãi và tuyệt vọng. Xin Chúa tiếp tục đồng hành và chữa lành những đổ vỡ trong tâm hồn con.","2026-06-24T22:56:52.327446Z"
1797,"1","2026-06-24T22:57:02.364438Z","normal",1797,1.998,"","r3-0046","Có những ngày… bạn không còn động lực để tiếp tục. Không phải vì bạn lười… mà vì bạn đã mệt… quá mệt. Video này là bài pháp nhẹ nhàng, sâu sắc dựa trên lời dạy của Thích Ca Mâu Ni, giúp bạn: ✨ Hiểu vì sao bạn mất động lực ✨ Buông bỏ áp lực và kỳ vọng quá mức ✨ Tìm lại sự bình an từ bên trong ✨ Dần dần lấy lại năng lượng một cách tự nhiên 🌙 Hãy nghe mỗi tối trước khi ngủ để: – Tâm trí nhẹ lại – Giảm suy nghĩ tiêu cực – Ngủ sâu hơn và hồi phục năng lượng – Tìm lại hướng đi mà không cần ép bản thân Bạn không cần phải mạnh mẽ mọi lúc… Bạn chỉ cần không bỏ rơi chính mình.","2026-06-24T22:57:02.364455Z"
1798,"1","2026-06-24T22:57:11.183023Z","depression",1798,3.098,"","r3-0047","mình mắc kiểu số 4, nhiều lúc đang nói chuyện với bạn bè có người lạ tới y thì tự dưng lại đổ mồ hôi với thở gấp, cách là mình làm là tập hít thở và tưởng tượng có người nói chuyện bt mặc dù giờ lâu lâu cũng bị trở lại nhưng đỡ hơn lúc trc rất nhiều. Cảm ơn bạn video rất hay!","2026-06-24T22:57:11.183043Z"
