comment_text,weak_label,confidence,depression_score,matched_keywords,need_review
"Kênh của bạn rất bổ ích, mình luôn theo dõi và ủng hộ. Chúc bạn có thêm thật nhiều video ý nghĩa như thế này. Namaste 🙏",normal_auto,high,-4,bổ ích|ủng hộ,False
"Rất hay, cảm ơn anh 💖",normal_auto,high,-4,cảm ơn|rất hay,False
😂 Cảm ơn thầy đọc tờ Cường thầy đã chia sẻ những thứ bổ ích mà ít có ai chia sẻ như thầy một lần nữa Thay mặt gần 2000 người được xem xin cảm ơn thầy tất cả mọi người đâu sao không có lời cảm ơn với thầy cương,normal_auto,high,-4,cảm ơn|bổ ích,False
Hay quá. Tuyệt vời,normal_auto,high,-4,hay quá|tuyệt vời,False
Người ta nói gđ là hp đâu bt mjk phải chịu bao nhiêu khổ cực bị đánh đập tàn nhẫn ko thương tiếc còn coi mjk là ko khí thật áp lực cứ nghĩ kết thúc cuộc đời là cách dễ nhất nhưng sự thật tàn nhẫn,depression_auto,high,8,kết thúc cuộc đời|áp lực,False
"dạ hay quá ạ,con cảm ơn BS và cô MC ạ,,Con cũng đi khám bs cho con uống thuốc thần kinh,nói con bị nặng nhưng từ ngày uống thuốc con trở nên đờ đẩn,bs cho con 20 ngày và bảo uống nhất là 3 đến 6 tháng có thể cả 12 tháng mới đở,nhưng con uống đến ngày thứ 7 con cứ ngủ li bì không làm chủ được cảm xúc,thế là con quyết định bỏ thuốc từ hôm bỏ thuốc đến giờ con đã ổn định nhờ vào thiền chánh niệm ạ..con cảm ơn ạ.❤❤❤❤❤❤❤❤.",normal_auto,high,-4,hay quá|cảm ơn,False
"Thực sự dạo gần đây e rất là mệt mỏi, mệt mỏi vì áp lực học tập, cảm thấy có lỗi với gia đình và trên hết là sự thất vọng vì bản thân. Những môn học mà em luôn tin tưởng rằng mình giỏi nó thì năm học này lại như tát cho em một cú tát. Chán nản, mệt mỏi vì cứ nghĩ rằng cho dù bản thân có cố gắng đến đâu thì kết quả cũng như vậy đã khiến em luôn bất cẩn, rồi trở nên lười biếng, tự ti và mất định hướng. Nhờ podcast của chị mà em cảm thấy nhẹ nhõm, thoải mái với bản thân hơn nhiều.",depression_auto,high,15,mệt mỏi|áp lực|chán nản|áp lực học tập|tự ti,False
"Nam Mô Bổn Sư Thích Ca Mâu Ni Phật ! Cám ơn Thầy và chư Đạo hữu đã biên soạn 1 video rất hay ạ, giọng đọc rất truyền cảm ạ",normal_auto,high,-4,cảm ơn|rất hay,False
"Hay quá đi IA ơi ,hát hay mà dễ thương ,lời hát sâu lắng rất tâm trạng luôn ❤❤",normal_auto,high,-4,hay quá|dễ thương,False
truyen qua hay! dac biet la k bi quang cao gian doan. cam on tac gia rat nhieu. mc co giong doc rat hay va truyen cam.,normal_auto,high,-4,cảm ơn|rất hay,False
Quá đỉnh cám ơn bạn rất nhiều,normal_auto,high,-4,cảm ơn|quá đỉnh,False
"Cảm ơn các bạn khán giả đã ủng hộ cho ca khúc ""Lưu Luyến Sau Chia Tay"" thật nhiều ạ",normal_auto,high,-4,cảm ơn|ủng hộ,False
"Ai cũng có khuyết điểm chỉ là họ có đủ mạnh mẽ để chia sẻ điều đó không, đa số họ chọn thể hiện sự hoàn hảo ra ngoài, chị lm rất tốt á, em cảm ơn chị nhiều lắm. Video quá bỏ ích",normal_auto,high,-4,cảm ơn|bổ ích,False
"Mình bị trầm cảm và mất niềm tin về giá đình và gần như mỗi ngài đầu nghĩ đến tự s,á,t",depression_auto,high,8,trầm cảm|mất niềm tin,False
Cám ơn ad rất nhiều…thời điểm ra video này đúng vào lúc mình gặp khủng hoảng về tinh thần nhất…mình bị lo nghĩ quá mức khiến đánh mất bản thân …thật may mắn khi nghe được những lời động viên như này . thực sự đã giúp ích cho mình rất nhiều trong giai đoạn này . Một lần nữa cám ơn ad ạ❤❤,normal_auto,high,-4,cảm ơn|ủng hộ,False
"In tro quá hay ,phối âm tuyệt vời, Hát rất sung , Cám ơn Lê Lâm",normal_auto,high,-4,cảm ơn|tuyệt vời,False
Nhạc hay qúa ca sĩ nào hát cũng hay tuỵễt vòi,normal_auto,high,-4,hay quá|tuyệt vời,False
"Nghe mà thấm từng chữ luôn. Thực sự cảm ơn better version vì đã tạo ra 1 kênh tuyệt vời trong hàng triệu kênh ngoài kia. Mình yêu kênh vì kênh chính là một cán cân, giúp mìn tìm lại sự cân bằng trong tâm hồn khi trải qua biết bao phong ba bên ngoài. Yêu better version lắm ❤❤❤",normal_auto,high,-4,cảm ơn|tuyệt vời,False
Mc Quốc Khánh! Chủ đề : Cha Mẹ tỉnh thức rất cần thiết và bổ ích với cộng đồng. Cám ơn bạn và khách mời!,normal_auto,high,-4,cảm ơn|bổ ích,False
"Mk đủ hết mà bố mẹ không tin, cho rằng trầm cảm là bệnh điên và từ chối cho mk đi khám tâm lý, bố mẹ bảo đi khám có thể để vệt đen trong hồ sơ lớn lên có thể không xin đc việc. Mk luôn phải tỏ vẻ vui vẻ trc tất cả mọi người nhưng mk thật sự mệt mỏi quá r( trải nghiệm riêng mình đừng tõic tui nha😢😢😅😅)",depression_auto,high,8,trầm cảm|mệt mỏi,False
Hà Nội xin cảm ơn Kim ba nhiều nhiều vì bài tập rất tuyệt vời,normal_auto,high,-4,cảm ơn|tuyệt vời,False
"""Khổ đau không phải kẻ thù, mà là bài học giúp ta tỉnh thức. Mỗi nghịch cảnh là cơ hội để tu sửa tâm, thấy rõ vô thường và buông bỏ chấp trước. Đừng oán trách đời, hãy quay về nhìn lại chính mình. Muốn đời an, tâm phải tịnh. Muốn tâm tịnh, phải biết buông – buông sân hận, ích kỷ, tham cầu. Tâm có từ bi thì cảnh sẽ đổi, người sẽ hòa, nghiệp sẽ chuyển. Tu không phải đợi khi rảnh, mà tu ngay trong từng hơi thở, từng lời nói, từng hành động giữa đời thường.""",normal_auto,high,-4,hay quá|ủng hộ,False
tôi chịu đựng trầm cảm nặng bởi gia đình cha mẹ giờ tôi cảm giác muốn chết,depression_auto,high,10,muốn chết|trầm cảm,False
"Ta on Chua, cc cam on cha Gioan tay gia Phuong Dinh Toai. Cha oi cha giang rat hay. Nghe that de hieu .lam cc den gan Thien Chua hon.",normal_auto,high,-4,cảm ơn|rất hay,False
"Cảm ơn anh, video bổ ích lắm. Chúc a 1 ngày tốt lành",normal_auto,high,-4,cảm ơn|bổ ích,False
"Một bài hát dễ thương, ngọt ngào cho những ngày cuối năm. Bình yên đến lạ. Cảm ơn Kai, chị Min và Grey D!",normal_auto,high,-4,cảm ơn|dễ thương,False
Cảm ơn bs đã chia sẻ thông tin bổ ích,normal_auto,high,-4,cảm ơn|bổ ích,False
"Hay quá , cảm ơn Đinh Đoàn nhiều!",normal_auto,high,-4,hay quá|cảm ơn,False
Thu Phương hát hay quá❤❤❤❤❤ Chúc mừng em. Em là người nối tiếp lý tưởng Nguyễn Phi Hùng💝💝💝💝💝,normal_auto,high,-4,hay quá|chúc mừng,False
"Mỗi ngày trước khi đi làm , chị đều hát bài này. Cảm ơn Năm Tran beat bia này thật dễ thương",normal_auto,high,-4,cảm ơn|dễ thương,False
"Tôi bị trầm cảm suốt hơn hai mươi năm... Những những nổi đau, bất hạnh trong cuộc đời tưởng chừng đã kết thúc cuộc đời với 3 lần tự tử, 2 lần thất bại và ý định đến lần thứ 3 thì Chúa đã viếng thăm, tôi đã gặp Chúa và mọi sự đã hoàn toàn thay đổi... sự Chữa lành đến từ Chúa Tạ ơn Chúa Chuyện rất dài....",depression_auto,high,15,tự tử|kết thúc cuộc đời|trầm cảm,False
Chúc mừng ah đã nhận đc 1 sub và cảm ơn vì đã tạo động lực cho rất nhiều người mong ah đạt 100k sub nhá ;3,normal_auto,high,-4,cảm ơn|chúc mừng,False
"Bài rất hay, đang có nhất nhiều bn trẻ, thậm chí là rất trẻ mắc phải hội chứng này. Cám ơn tác giả!",normal_auto,high,-4,cảm ơn|rất hay,False
Truyện hay quá cảm ơn tác giả và giọng đọc của thu huệ ❤❤❤❤,normal_auto,high,-4,hay quá|cảm ơn,False
Cam ơn ngươi đẹp.có giống tuyêt vơi luôn❤,normal_auto,high,-4,cảm ơn|tuyệt vời,False
"Bạn xưng ""tui"" nghe rất dễ thương. Mình mới đặt mua 1 quyển beso như gửi 1 lời cảm ơn đến các thông điệp của bạn ☺️",normal_auto,high,-4,cảm ơn|dễ thương,False
Chỉ có ai bị mới hiểu căn bệnh này rất mệt mỏi phải vật lộn đấu tranh với nó. Mấy năm rồi mà vẫn hỗn loạn tiêu cực triền miên cảm thấy vô dụng muốn chết cho xong,depression_auto,high,8,muốn chết|mệt mỏi,False
❤❤❤ hay quá em zai đúng hoàn cảnh của anh 😢😢,normal_auto,high,-4,hay quá|ủng hộ,False
"Tuyệt vời quá,cảm ơn kênh.",normal_auto,high,-4,cảm ơn|tuyệt vời,False
"Hay quá ! Lâu lắm rồi mình mới được nghe một bản ballad cảm xúc và hay như thế này ! Cảm ơn Daci Entertainment đã tạo một sản phẩm hay như vậy . À mình xin góp ý là nên tu sửa lại phần rap sẽ hay hơn , theo mình phần đó là giọng của nữ sẽ rất hay ạ .",normal_auto,high,-6,hay quá|cảm ơn|rất hay,False
"Em cảm ơn anh đã chia sẻ những kiến thức vô cùng hữu ích, đây là một trong những điều em thấy rất hay, thực sự e cũng đã tìm thử rất nhiều phương pháp trước đây và cũng thực hành, nhưng tuy nhiên thì hiệu quả mang lại không được cao. Sau khi xem videoo này, em sẽ thử cách mới của anh, em cảm ơn anh nhiều nhé. Chúc anh có thật nhiều sức khỏe và ra nhiều video nữa ạ",normal_auto,high,-4,cảm ơn|rất hay,False
Chuyện rất hay cảm ơn tác giả nhé,normal_auto,high,-4,cảm ơn|rất hay,False
a di đà phât con cám ơn thầy bài dảng của thầy rất hay và ý nghĩa,normal_auto,high,-4,cảm ơn|rất hay,False
hay quá cảm ơn better version,normal_auto,high,-4,hay quá|cảm ơn,False
Cam on kênh . Vam on đ đ phân tich rât đung va rât bổ ich,normal_auto,high,-4,cảm ơn|bổ ích,False
RẤT CÃM ƠN yotube DANH SÁCH KẾT HỌP RẤT HÂY / NGƯỜI XEM THẤY VUI VUI ../…CHÚC TẤT MỌI NHƯỜI VUI KHOẺ …NHÉ …HOA RỪNG …/…,normal_auto,high,-4,cảm ơn|rất hay,False
Ca Sĩ trẻ đẹp Hoàng Hải hát hay quá tuyệt vời quá Chú Chúc Mừng Hoàng Hải nhé ❤❤❤❤❤,normal_auto,high,-8,hay quá|ủng hộ|tuyệt vời|chúc mừng,False
Cảm ơn bác sĩ đã phân tích và cia sẽ rất thực tế rất hay,normal_auto,high,-4,cảm ơn|rất hay,False
"Hay quá chị Tiên ơi. Mv rất sáng tạo, hay, nhạc lời đều hay, giọng hát thì miễn bàn rồi. Tóm lại 2 chữ: tuyệt vời!",normal_auto,high,-4,hay quá|tuyệt vời,False
cảm ơn chị đã làm những video thật ý nghĩa ạ!,normal_auto,high,-4,cảm ơn|thật ý nghĩa,False
Phim hay quá .mẹ ck và ck quá tuyệt vời .mình cảm ơn Đ d phim chúc Đ D ra nhiều phim hay để cho mn cùng xem phim nhé,normal_auto,high,-6,hay quá|cảm ơn|tuyệt vời,False
Tuyệt vời ông mặt trời. Cs ơi. Luôn mạnh khỏe tươi trẻ có thật nhiêu niêm vui và nhiều ck tuyệt vời ntn. Cảm ơn em nhiều lắm em ơi,normal_auto,high,-4,cảm ơn|tuyệt vời,False
"Nghe bài này cảm thấy giống với bản thân, tuổi 18 chập chững đứng trước thất bại đầu tiên là trượt đại học, nhưng may đã có gia đình ở bên và vượt qua giai đoạn khủng hoảng này. Bài hát rất hay và nói lên nỗi lòng của nhưng người mới bước vào đời.",normal_auto,high,-4,ủng hộ|rất hay,False
"Sự tự ti mặc cảm của t bây h bắt nguồn từ tuổi thơ: những lần bố đánh mẹ , biệt danh họ đặt cho t hồi bé r gọi cái tên đấy chốn đông người, h tôi lớn thì là những cái tát, chửi rủa. 1 ng nhạy cảm sống cùng ng cha toxic, 1 ng mẹ yếu đuối.",depression_auto,high,8,tự tử|tự ti,False
