row_id,text
s8-0030,cảm ơn nhạc của bạn nhiều 🤗 nhiều lúc trông chuyện tình cảm mình muốn làm họ vui thì họ bảo mình còn trẻ con quan tâm thì họ xem như rát mà vứt đi còn họ đâu hiểu cảm giác của mình trông lúc đó ra làm sao đâu mình buồn hay vui họ cũng xem như kh có chuyện gì 🤗
s8-0031,"C1: dùng hoạt động thể chất thay thế hoạt động MXH C2: bảo vệ giờ vàng (lúc thức dậy + 3 tiếng) C3: hoạt động sinh lý thay thế tâm lý - Chạy tầm 10p xung quanh nhà - Nghe nhạc beat nhanh (150 beat pop music) - Đầu giờ trưa, nghe trước khi lv."
s8-0032,Nhưng hồi năm đó làm j có thiết bị hiện đại vậy thì ai đã lái?
s8-0033,Nghe thay giang mà tīnh ngô läy lai tinh thän cam on thay chuc thsy mk binh an .
s8-0034,Mô phật bài gián này rất hay nhưng mình từng cho đi và thâm hỏi khi mình khi có chuyện không ai hỏi và thậm có những lúc buồn cho số phận mam mô a Di Đà Phật mieng tâm an lạc là hạnh phúc tâm từ bi không phiền ai hết mình nghĩ đây là no kiếp trước giờ buồn thì khổ thân nên gũi tâm an lạc là hạnh phúc mô phật
s8-0035,"Ông làm video này không hiểu gì về vấn đề Đài Loan cả. Chả có cái nào gọi là nước Đài Loan, Đài Loan chỉ là một hòn đảo thuộc Trung Hoa Dân Quốc (tuyên bố chủ quyền toàn bộ lãnh thổ TQ)."
s8-0036,"Tóm tắt video: *Có 3 hiểu lầm khi lắng nghe: Lắng nghe là người lép vế hơn: Người lắng nghe là người kiểm soát câu chuyện Lắng nghe là ngồi im: nếu ko đưa ra dc ý kiến Lắng nghe trong mọi trường hợp giống y như nhau *Có 4 kiểu lắng nghe: Lắng nghe để thưởng thức: Tập trung vào việc thưởng thức, ví dụ như âm nhạc( thường là những thứ liên quan đến nghệ thuật)... Lắng nghe để học hỏi: bao gồm viêc biết m đã hiểu vẫn đề hay chưa và đưa ra ví dụ, Lắng nghe để đồng cảm: chia sẻ để biết người nói đang ( có cảm xúc gì) vì gặp vấn đề nào đó,..., Lắng nghe để đánh giá: liên quan đến teamwork , thảo luận=> đưa ra quan điểm và giải thích hoặc bổ sung cho ý kiến cho người nói"
s8-0037,"Thì cái gì cũng từ từ chứ ,chậm mà chắc bạn phải học thêm tính kiên nhẫn nửa rồi!"
s8-0038,"Mình cũng từng là những người đc mn tung hô, ngưỡng mộ như một idol thực thụ. Từ việc có thể cày từ 10-20 đề toán trong 1 buổi tối, làm cái nào đúng cái đó, giải được những bài khó nhất, từng rất yêu môn toán, đâm mê vs chúng. Nhưng từ khi mình chuyển cấp , mmìnhddax sa sút môn toán trầm trọng, k còn đam mê nx, mình trở nên ghét toán, ghét làm toán, bỏ bê môn toán và chẳng bgio oon nó nx....Nh bio, mik đã là1 hs chuyên văn, mik rất yêu quý môn văn ..."
s8-0039,"Mong anh có thể làm video về thực trạng ""ptsd"" và nguyên nhân dẫn đến chúng ạ (em trai của em mới 13t nhưng em ấy lại có biểu hiện của ptsd nên em cũng hơi lo ạ)"
s8-0040,"[Lời bài hát ""NGƯỜI NHƯ ANH XỨNG ĐÁNG CÔ ĐƠN""] Verse 1: Ánh sáng tắt đi, chẳng để lại thứ gì Cuối cùng mọi cố gắng chỉ là vứt đi Tìm trong ký ức vẫn còn, bờ vai môi son Từng ở bên anh, từng nằm tay anh Trí nhớ khắc sâu, ngày đôi ta mất nhau Bất lực anh trôi vào trong nỗi đau Chẳng gì có thể xứng đáng lấp đầy Khoảng trời em buông tay nơi đây Bước chân như ngã quỵ Chấp nhận ta chia ly Chorus: Phải chăng anh đã lỡ đến sớm Một vài kiếp người để yêu em? Phải chăng duyên chúng ta phải chấp nhận Đường đi của sô phận không thể phạm sai ý trời Giữ em một chút trước lúc xa hơn Trời làm gió từng cơn Có lẽ người như anh Chỉ xứng đáng cô đơn Verse 2: Giấu nước mắt đi nhanh khi đứng trước em Lấy hết cả dũng khí để buông tay em Anh không sao, anh không sao đâu mà Chỉ là lòng chật chội về đêm Vì chịu đựng nỗi nhớ về em Bao lâu nay anh đã nói dối lòng mình rằng thật sự anh đã quên em Bao lâu nay anh đã cố phớt lờ mọi cảm xúc không nguôi về chính em Làm sao để đối diện đây? Làm sao để mở lời đây? Hay là anh phải đi xa Đi về nơi mà không có chúng ta Bridge: Một mùa hạ ôn như có khiến giấc mơ Yêu em được kéo dài thêm? Chìm mình vào mưa đêm liệu tim anh thôi nhức nhối? (Kết cục hôm nay sẽ mãi không thay đổi Câu chuyện của chúng ta phải dừng ở đây thôi) Đành chia đôi rẽ lối (Tự thân gặm nhấm những ngày tháng lầm lỗi Lẳng lặng ngược dòng hoa trôi) *Mình anh trong bóng tối* Chorus: Phải chăng anh đã lỡ đến sớm Một vài kiếp người để yêu em? Phải chăng duyên chúng ta phải chấp nhận Đường đi của sô phận không thể phạm sai ý trời Giữ em một chút trước lúc xa hơn (Trái tim em muốn giữ lại) Cơn đau không thể bớt đi hơn Có lẽ người như anh (hooh-ooh) Chỉ xứng đáng cô đơn Có lẽ người như anh Chỉ xứng đáng cô đơn"
s8-0041,Nói chung bà mẹ này cũng chưa hoàn toàn thương yêu con mình còn 2 đua con thì cũng chưa thực sự hiếu thảo với mẹ nhưng nếu 2 con của bà năm giành nhiều thời gian cho mẹ thì bà năm cũng ko hành động như vậy nhưng nếu di chúc cho con út 3 tỉ còn lại cho 2 con mỗi đua 1 tỉ còn giữ lại cho mình là hợp lí còn người giúp việc họ chăm sóc những họ đã hướng lượng nếu tốt chỉ có thể tăng lương cho họ là hợp lí hơn
s8-0042,Đầu năm 2018 rồi có ai còn nghe lại không .. Nhớ cái lần đầu tiên nghe bài này khi nhận đc tn ct mọi thứ trong tôi chấm dứt buồn và đâu khổ nh khi muốn chết Thế giờ đã 2 năm rồi hì nhanh thật ... mối tình đâu của tôi... giờ nta có ng mới rồi..nhưng e đâu có biết tôi vẵn yêu em như ngày nào .. từng ngày từng giờ từng năm tôi vẵn mong e ql vs tôi... nhưng đều đó khó qá e nhỉ ... thôi thì chúc em hp ng con gái tôi yêu 08/01/1999
s8-0043,Đài loan thù nước nào coi nó là quốc gia thì sẽ kêu là đài loan ví dụ như mỹ v.v còn mà theo liên hợp quốc thì sẽ kêu nó là đài bắc trung hoa Bình luận xong thấy hả liên quan mà thôi kệ 🐧
s8-0044,"Không, âm thanh trên mạng không hề có tác dụng làm mát điện thoại. Mấy video hay đoạn âm thanh được quảng cáo là ""tần số làm mát pin"", ""âm thanh hạ nhiệt điện thoại"" thực chất chỉ là một chiêu trò câu view (hoặc trò đùa) trên TikTok, YouTube chứ không có bất kỳ cơ sở khoa học nào cả. ​Tại sao âm thanh không thể làm mát điện thoại? ​Âm thanh không hút được nhiệt: Sóng âm phát ra từ loa là sự rung động của không khí. Sự rung động này không có khả năng hấp thụ hay thổi nhiệt lượng từ trong linh kiện điện thoại ra ngoài. ​Thậm chí còn làm máy nóng hơn: Khi bạn mở video hoặc bật âm thanh, màn hình phải sáng, loa phải hoạt động, và chip xử lý (CPU) phải chạy để giải mã dữ liệu. Tất cả các hoạt động này đều tiêu thụ điện năng và sinh thêm nhiệt. ​💡 Tóm lại: Bật âm thanh làm mát điện thoại cũng giống như việc bạn bật tivi để mong phòng mình mát lên vậy – hoàn toàn ngược đời! ​Cách làm mát điện thoại hiệu quả và an toàn ​Nếu điện thoại của bạn đang bị nóng (nhất là khi chơi game, xem video lâu hoặc sạc pin), hãy thử các cách thực tế này: ​Tháo ốp lưng: Ốp lưng (đặc biệt là ốp dày hoặc bằng cao su/nhựa) giữ nhiệt rất tốt. Tháo ra sẽ giúp máy tản nhiệt qua vỏ nhanh hơn. ​Tắt các ứng dụng chạy ngầm: Tắt bớt các app không dùng để giảm tải cho chip xử lý. ​Tránh xa nguồn nhiệt: Không vừa sạc vừa dùng, không để máy ngoài trời nắng hoặc trên nệm/gối (nệm giữ nhiệt rất ghê). ​Để trước quạt: Cho máy ngồi hóng mát trước quạt gió một lúc là hạ nhiệt ngay. ​Giảm độ sáng màn hình: Màn hình quá sáng cũng là một ""sát thủ"" sinh nhiệt và ngốn pin."
s8-0045,"từ vựng hôm nay là gi "" ây ây ây """
s8-0046,"Theo tôi, bất cứ lựa chọn cũng ảnh hưởng không ích gì nhiều đến tương lai mọi người biết không tôi luôn chạy đua với thời gian nhưng nhờ xem vào những video bổ ích như thế này đâu đó tôi vẫn cảm thấy vô tư như một đứa trẻ Năm nay tôi 24 tuổi bố mẹ tôi >50 tuổi rồi tôi muốn giàu thực nhanh và kiếm rất nhiều tiền để có thể hỗ trợ mấy đứa em còn nhỏ không được đầy đủ, giúp bố mẹ tôi đỡ vất vả và khiến họ trở nên tận hưởng cuộc sống ở độ tuổi còn lại. Tôi thừa biết rằng bố mẹ sẽ ko mãi ở bên tôi và đối với tôi, gia đình là điều quan trọng nhất không có gì thay thế được. Vì vậy, những bạn trẻ nên biết yêu thương và quan tâm những người yêu thương nha đừng bao giờ để họ ko gần bên ta rồi mới hối hận"
s8-0047,dạo này mưa nhiều buồn nghe bài này xong càng nặng lòng hơn rất tuyệt vời
s8-0048,Đang yeu nhg vẫn thik nghe nhạc suyy 😂
s8-0049,"Kiểm soát cảm xúc thật sự là kỹ năng quý báu, vì khi ta làm chủ được tâm trí, mọi hành động và suy nghĩ đều trở nên sáng suốt hơn. Đây là cách tuyệt vời để sống mạnh mẽ hơn trong cuộc sống hiện đại !"
s8-0050,"huhu an An luôn ra video đúng thời điểm luôn á. dạo này lười đọc sách hẳn xong cái anh up video giveaway sách. mấy nay em hơi bị khủng hoảng, không học tập cũng không chăm chút bản thân nhiều. sau khi xem video này, em nhận ra lâu nay đã quá buông thả bản thân rồi, phải lập kế hoạch lấy lại động lực thôi!!!! anh có duyên thật sự luôn á, xem anh nói mà đôi khi cười điên khùng vì những lời nói ""bị liệu"" của anh"
s8-0051,Các bạn nên tìm và tập khí công nguyên pháp.. của thầy TT thích chân Quang... để đưa khí lực xuống đan điền... từ từ sẽ khỏi.
s8-0052,"cs 1 điều là tớ rất thik học nhạc, học piano , học hát, nhxma nhà tớ chỉ ở mức trung, kh đủ tiền để học, mn luôn khuyên tớ bỏ điều này đi, vì ns quá cao so với gia đình tớ. Tớ thích âm nhạc lắm, bởi ns chữa lành tâm trạng của tớ. Hồi cấp 1 tớ yêu Toán, thích Toán, đứng đầu bxhang môn toán, nhma giờ tớ mất hứng thú vs toán, tớ chỉ yêu âm nhạc th, bởi đó ms là cuộc sống của tớ. Nhma chg ai ủng hộ cả..."
s8-0053,"“2 GIỜ NGHE ĐỌC TRUYỆN ĐÊM KHUYA - NỖI ĐAU NGƯỜI ĐÀN BÀ” là một tuyển tập tâm sự khiến người nghe lặng đi vì quá nhiều cảm xúc. Những câu chuyện không ồn ào nhưng lại chạm sâu vào nỗi cô đơn, hy sinh và những tổn thương thầm lặng của người phụ nữ trong cuộc sống. Giọng kể nhẹ nhàng, chậm rãi như ru ngủ nhưng lại đủ sức khiến người ta phải suy ngẫm rất lâu. Vừa nghe vừa thấm, vừa buồn vừa thương – đúng chất truyện đêm khuya giúp xoa dịu tâm hồn sau một ngày dài ❤"
s8-0054,Con cám ơn Cha nhiều lắm 🪴🪴
s8-0055,"Vì sao thế nhỉ luôn xuất hiện khi mùa thu đông đến bằng một cách nào đó. Giữa những ngày rối loạn cảm xúc theo mùa kéo đến, cậu lại an ủi tớ bằng những video hay và chạm đến thế. Mong một ngày thu Vì sao thế nhỉ? vẫn xuất hiện nhưng tớ có thể đã có được hạnh phúc thay vì như bây giờ."
s8-0056,"Mình mất đi mối tình gần 6 năm nghe bài này đau thấu tâm can, không bao giờ có thể tha thứ cho chính bản thân mình. Đã 23 ngày trôi qua và mỗi ngày mình đều khóc, mình không biết trân trọng. Đúng là chỉ khi mất đi rồi mới biết người đó quý giá như thế nào. Người ấy tốt với mình từng li từng tí nhưng mình không biết trân trọng đã làm mất đi 1ng vô cùng quan trọng. Mình chưa từng yêu ai như thế này, 30t rồi chỉ mất đi mới trân trọng có ý nghĩa gì. Mình biết cả cuộc đời này mình cũng sẽ sống trong hối tiếc và không bao giờ có thể tha thứ cho chính mình. Em xin lỗi D và cảm ơn D đã bên em ngần ấy năm. HND."
s8-0057,cám ơn e nhé ... thích thì cứ học ko quan tâm nhiều
s8-0058,"mình có bố mẹ tuyệt vời nhất trên thế giới, họ chẳng bao giờ bắt mình phải đạt điểm thế này vào trường thế kia, khi mọi người tư vấn trường đại học cho mình, mình hỏi mẹ rằng"" mẹ muốn con vào trường nào"" mẹ nói ""vào trường nào con thích là được"", mình nhận ra à thì ra tình cảm gia đình là như thế, trước mỗi lần thi, mẹ đều chỉ nói làm bài bình tĩnh, có lần mình đạt điểm thấp, phải đóng tiền thi lại, mình k dám nói, khi bố mẹ biết, mình đưa tiền tiết kiệm của mình cho mẹ để đóng tiền thi lại, bố mẹ nói thôi cầm lấy mới bán được tí hàng lại lấy ra, bố mẹ trả được, k cần lo đâu. Mình sinh ra trong 1 gia đình bình thường, ko khá giả, tình yêu của bố mẹ là động lực lớn nhất của mình chắc đó cũng là món quà lớn nhất mà ông trời dành cho mình trong kiếp sống ngắn ngủi này"
s8-0059,"Thương chị nhiều … Tôi cũng là người mẹ có con gái bị trầm cảm nhg may mắn bạn xin mẹ cho con đi bs, tôi đc giới thiệu BS Tài chuyên khoa nội thần kinh hướng dẫn chăm sóc, uống thuốc điều trị. Sau 5 tháng uống thuốc, tái khám thì con xin mẹ cho con ngừng thuốc … con đã coi phim của Mỹ có tên giống viên thuốc con đang uống 😂😂😂 Vô cùng biết ơn con !!! Khoảng 2 năm sau gia đình ko may xảy ra biến cố … con can đảm nắm tay ba mẹ vượt qua … không tái lại … Nam Mô Bổn Sư Thích Ca Mâu Ni Phật …"
s8-0060,"Xưa cũng may bố mẹ mình k ép mình học,toàn mình tự học k à,học trên lớp tập trung nghiêm túc,tối về nhà thường chỉ học 1tiếng,lúc chơi thì vẫn chơi hết mình,thi đại học cũng học chơi chơi học mà vẫn đỗ Bách Khoa Hà Nội,giờ ra trường lương tàng tàng 15 củ,trong khi mấy đứa ngày xưa lười học có đứa làm sếp kiếm trăm củ,nên sau này mình cũng k ép con học,hướng tự học là hơn"
s8-0061,Bọn ác là sinh đôi đúng hông ????
s8-0062,"Tôi người bắc, ủng hộ pháp luật về bọn tư duy phân biệt đả kích vùng miền... Miền bắc cũng có tư duy vùng miền nhưng không nhiêu như trong ấy... Tầm này ủng hộ bắt hết nộp thuế cho NN"
